date,Swiss Performance Index SPI,SWX New SPI Index,SPI EXTRA,SPI Inhaber mit Div.-Korr,SPI Namen mit Div.-Korr,SPI Inhaber + PS mit Div Kor,SPI PS mit Div.-Korr,SPI Small Companies mit Div,SPI Middle Companies mit Div.K,SPI Large Companies mit Div.Kor,SPI Small + Middle C. mit Div.,SPI Large+Middle Comp mit Div Korr,All Share SWI mit Div. Korr.,SPI ex SLI,hsbng,gold,SBI For AAA-BBB M 1-5,SBI For AAA-BBB M 5-10,SBI Dom Gov M 3-7,SBI Dom Gov M 7-15,SBI Dom Gov M 1-3,SXI Real Estate Broad,SXI Real Estate Shares Broad,SXI Real Estate Funds Broad,sandp500,jpm,tsla,msft,nvda,googl,apple,hon,btc,eth,sol,xrp
2015-08-10,-0.0118935057785448,-0.011896542037075401,-0.0072689779416923,-0.05066544700664,-0.011686570493938293,-0.012848646600955513,-0.007401664722698,-0.001168746132414594,-0.007924467156208901,-0.012731812083445797,-0.007269262763752398,-0.0120548340196527,-0.011883707358976103,-0.010370100911531697,0.0010744811778561,0.0,0.0006236358169068,0.0023476308750612004,0.0023046312316600997,0.0063594498890686,-0.0008289419623226,2.2342740621000574e-05,0.013797450225806099,-0.005333442290804301,-0.0008272675446004997,-0.0023540390000000005,0.0,0.005547229999999998,0.02407683,0.036908722,0.003801663,0.0058617719999999995,-0.0248612193465044,0.5300039537108894,0.0,-0.05264184934961229
2015-08-17,-0.0997545424997735,-0.09975331531065651,-0.0807361806519982,-0.0830601573258013,-0.1026172159654144,-0.086587770665826,-0.08708644864090989,-0.048285287730222,-0.08429673603027901,-0.1032487152892415,-0.08073494699746,-0.10055690513567078,-0.09978258955708288,-0.0758850320442444,0.0002928400626128,0.0,-0.0009355996316344999,-0.0008120179090114,-0.00020929259180619978,0.0031246269863955,-0.0009482044090782,-0.0477649833215176,-0.0791146368958061,-0.0357537491397098,-0.1048247739042317,-0.065275294,0.0,-0.087320903,-0.09204449,-0.06803276899999999,-0.09207288999999999,-0.070286506,-0.20340473191367509,0.022720794501783007,0.0,-0.1153342028387116
2015-08-24,0.041102095984771506,0.041101792969350494,0.0408970766496345,0.0377349084804577,0.041796257562803696,0.0379263783520023,0.037953953571359,0.0207684371473898,0.0431205409581035,0.0411402231237263,0.0408957909701705,0.041423100498025694,0.0412074260536756,0.0409835811095805,-0.002051683588144746,0.0,-0.0022907132049323,-0.005430369032895883,-0.0052466017518438,-0.01004952783766122,-0.0021367529497347,0.0127200497014697,0.0298869270305526,0.0062297726728759,0.0408657288072143,0.008298787,0.0,0.019770758,0.057029025,0.024024749000000005,0.068778489,0.011463138999999999,0.0888608800859442,0.09814362860589969,0.0,0.0636962037048617
2015-08-31,-0.013317575300882997,-0.013315446239625502,-0.011897470001538398,-0.0029355628069195035,-0.0136602872412591,-0.011743482758888,-0.012996751456525303,-0.006724787162044499,-0.012461551060261799,-0.013581573535113998,-0.0118952777255525,-0.013420126979491801,-0.0131665058642908,-0.012867789859172097,0.00039112154600470003,0.0250126029286991,0.00031267914163709995,0.0018134015305746,0.0012616971498139,0.0025017161899693,-0.0004754546624688,-0.0243284074871097,-0.0203314593024875,-0.0258568867848816,-0.0014055243980275987,-0.041875052,0.0,-0.030508467000000004,-0.04407188100000001,-0.047702396,-0.03612905500000001,-0.03489495599999999,0.04167846379070607,-0.08572981145333328,0.0,0.004316079959510296
2015-09-07,-0.0006984363321861,-0.0006970951817173027,0.007465772274021701,-0.009078948037918502,0.0010012254015570009,-0.008509709674064801,-0.008428032456977576,0.008517144434888902,0.007349007634720998,-0.0022259638674596988,0.0074654909038789,-0.0008446266365020969,-0.0006540943014721017,0.009929064103404002,-0.0007823961279312334,0.0,-0.0010426442400082,-0.0021764767819080003,-0.0009461235922587001,-0.0065499769206826,-0.0007136061197211,0.006219303765452147,-0.004938726545382099,0.0104711005090494,-0.0083519927476432,0.017088937999999998,0.0,0.020212071,0.040546094,0.041025454,0.044217012,0.030887735,-0.0391258363841208,-0.3532807550162273,0.0,-0.067081277373976
2015-09-14,0.011190532306169102,0.011190938626723098,0.008046594176361197,0.018742920351104295,0.012310085477248,0.0060045772319052,0.004177984200990101,0.0112638829896546,0.0076848849805037,0.011781070403873203,0.008044228696308001,0.011188910612017202,0.010975322458688002,0.007266267334876701,-9.784257138080975e-05,0.0,-0.00041736227650900006,-0.0012718024970076998,-0.0026328275963569,-0.0055320674765111984,-0.0007141157170889,0.0085190495597621,-0.0008542586130171012,0.012041874273670601,0.007112274878686002,-0.026236354,0.0,-3.469446951953614e-18,0.027864233,0.008539718999999998,-0.0066766829999999975,-0.015987389999999997,-0.0155509578489532,0.0484027990079583,0.0,-0.021480984290825803
2015-09-21,-0.0458269587994464,-0.04582880795551761,-0.0410099847558576,-0.0509805949003551,-0.04976244436388699,-0.0278874881606329,-0.024544036846499404,-0.0369816451360782,-0.041450840090164996,-0.04674104684512169,-0.0410101975174642,-0.0459684399105392,-0.04568454861764479,-0.0359530433843966,0.0010757421212444,0.0,-0.0024032193793048,-0.0037338962374292997,0.0028431546557086,0.0084484661735417,-9.996344030316351e-17,-0.020093561883567798,-0.025998409262433998,-0.0179048770126048,-0.0442814643579175,0.008659511000000002,0.0,0.010523983,0.013646266999999997,-0.03193031,0.011045028,-0.047200205,0.05173308441322459,-0.4553456670932102,0.0,-0.14102745814155238
2015-09-28,0.040128363657643426,0.04012777543948985,0.030150718586159697,0.0460794360633873,0.041996750793380735,0.0316558716294874,0.029578729011345197,0.0144565409120797,0.0318587628178399,0.0420110595696611,0.030153927411870802,0.0405341651171862,0.04000574969788613,0.029050927632685457,0.0012698414404759344,-0.070483873907474,0.0016724159850840998,0.0067291333303695,0.0031496089028961,0.0078962621222252,-0.0003572491851035,0.025682539530575997,0.0290834386621832,0.024420449097278293,0.054438303535808696,-0.010795002000000001,0.0,0.036424561,0.04917330099999999,0.025966244000000006,-0.038478282,0.03178208,0.005175955732716601,0.07557189550313961,0.0,-0.22856658725783902
2015-10-05,-0.0008276561129153997,-0.0008291851052558011,0.0158045747974248,0.039850864481265305,0.0016660013281162,-0.012275023524022703,-0.020075988289291205,0.0049919222516982996,0.0169591569195733,-0.0039789833653198995,0.0158024744147853,-0.0009192847329956987,-0.0010559316864082006,0.014619238449666101,-0.0008789492240257624,0.0,-0.0005223296018466,-0.0007252946827470999,-0.0012586534071961,-0.0024910615959328006,-0.0011917532098154001,0.0051103791594939,0.0191491242387607,-0.00013634194581069962,0.0151881676312077,0.018250449999999998,0.0,0.033235709,0.049941574,0.021458005,0.015640841000000003,0.046746033,0.020281092177707707,-0.004165151827172604,0.0,0.049214479204845216
2015-10-12,-0.0011342260348919007,-0.001134897656373599,-0.006805682680868799,-0.028522605515652798,-0.0045747728659819,0.014619356888443102,0.0211093193801679,-0.0076095855371411,-0.0067204158700327,-5.300656706499953e-05,-0.006805557269134199,-0.0010328118570774995,-0.0009324980758279999,-0.0116899263307816,0.0009765625776102,0.0,0.0006267627908091,0.0025362332435792997,0.0011538261100718,0.0032131122510745,-0.000477099245691,0.004521590149795883,0.0009960720244545007,0.005852143891287199,0.0079978308976584,0.008041214999999997,0.0,0.008454859999999998,0.06640673999999999,0.035245395,-0.009679265999999999,-0.041683211,0.07129973606390538,-0.24700721907888998,0.0,-0.0421244454550603
